PLANDTTM,CASTEQPTNM,BATCHNO,ALLOY,GAUGE,WIDTH,LENGTH,SPEED,CASTING_START_TIME,CASTING_END_TIME,COOLING_TIME,INGOT_REMOVAL_TIME,CASTING_PREPARATION_TIME,VIRTUAL,OVERLAP_TIME,OVERLAP
2024-04-29,DC1,T47168,K3104,560.0,1610.0,5600.0,67.0,2024-04-29 10:23:59,2024-04-29 11:54:59,2024-04-29 12:00:59,2024-04-29 12:19:59,2024-04-29 12:49:59,0.0,0,0
2024-04-29,DC1,T47169,K3104,560.0,1610.0,5600.0,67.0,2024-04-29 12:46:59,2024-04-29 14:17:59,2024-04-29 14:23:59,2024-04-29 14:42:59,2024-04-29 15:12:59,0.0,0,0
2024-04-29,DC1,T47170,K3104,560.0,1610.0,5600.0,67.0,2024-04-29 15:12:59,2024-04-29 16:42:33,2024-04-29 16:48:33,2024-04-29 17:07:33,2024-04-29 17:37:33,1.0,6:08,1
2024-04-29,DC1,T47171,M3104,560.0,1610.0,5300.0,67.0,2024-04-29 17:37:33,2024-04-29 19:02:40,2024-04-29 19:08:40,2024-04-29 19:27:40,2024-04-29 19:57:40,1.0,8:53,1
2024-04-29,DC1,T47172,M3104,560.0,1610.0,5300.0,67.0,2024-04-29 19:57:40,2024-04-29 21:22:46,2024-04-29 21:28:46,2024-04-29 21:47:46,2024-04-29 22:17:46,1.0,0,0
2024-04-29,DC1,T47173,M3104,560.0,1610.0,5300.0,67.0,2024-04-29 22:17:46,2024-04-29 23:42:52,2024-04-29 23:48:52,2024-04-30 00:07:52,2024-04-30 00:37:52,1.0,0,0
2024-04-29,DC1,T47174,M3104,560.0,1610.0,5300.0,67.0,2024-04-30 00:37:52,2024-04-30 02:02:58,2024-04-30 02:08:58,2024-04-30 02:27:58,2024-04-30 02:57:58,1.0,0,0
2024-04-29,DC1,T47175,M3104,560.0,1610.0,5600.0,67.0,2024-04-30 02:57:58,2024-04-30 04:27:33,2024-04-30 04:33:33,2024-04-30 04:52:33,2024-04-30 05:22:33,1.0,0,0
2024-04-29,DC1,T47290,M3104,560.0,1740.0,5100.0,60.0,2024-04-30 05:22:33,2024-04-30 06:53:33,2024-04-30 06:59:33,2024-04-30 07:18:33,2024-04-30 07:48:33,1.0,0,0
2024-04-29,DC1,T47291,M3104,560.0,1740.0,5100.0,60.0,2024-04-30 07:48:33,2024-04-30 09:19:33,2024-04-30 09:25:33,2024-04-30 09:44:33,2024-04-30 10:14:33,1.0,0,0
